seed,branch_metrics.both_active.aggregate_auc,branch_metrics.both_active.coactivity_auc,branch_metrics.both_active.combined_auc,branch_metrics.evidence_only.aggregate_auc,branch_metrics.evidence_only.coactivity_auc,branch_metrics.topology_only.aggregate_auc,branch_metrics.topology_only.coactivity_auc,dimensions.account_degree_r,dimensions.item_degree_m,dimensions.n_accounts_per_branch,dimensions.n_items,dimensions.team_repetitions,dimensions.team_size,incidence_diagnostics.random1.max_pair_cooccurrence,incidence_diagnostics.random1.mean_pair_cooccurrence,incidence_diagnostics.random1.repeated_account_pairs,incidence_diagnostics.random1.unique_account_pairs,incidence_diagnostics.random2.max_pair_cooccurrence,incidence_diagnostics.random2.mean_pair_cooccurrence,incidence_diagnostics.random2.repeated_account_pairs,incidence_diagnostics.random2.unique_account_pairs,incidence_diagnostics.team.max_pair_cooccurrence,incidence_diagnostics.team.mean_pair_cooccurrence,incidence_diagnostics.team.repeated_account_pairs,incidence_diagnostics.team.unique_account_pairs,interpretation_guard,invariants.all_account_degrees_equal_r,invariants.all_item_degrees_equal_m,invariants.evidence_only_branch_uses_identical_incidence_for_pos_neg,invariants.frequency_auc_exactly_half,invariants.stage4_attack_world_reused_without_modification,invariants.topology_only_branch_has_zero_aggregate_treatment_effect,primary_mixed_benchmark.aggregate_auc,primary_mixed_benchmark.coactivity_auc,primary_mixed_benchmark.combined_auc,primary_mixed_benchmark.combined_minus_best_single,primary_mixed_benchmark.frequency_auc,primary_mixed_benchmark.normalization.aggregate.mean,primary_mixed_benchmark.normalization.aggregate.std,primary_mixed_benchmark.normalization.coactivity.mean,primary_mixed_benchmark.normalization.coactivity.std,primary_mixed_benchmark.normalization.combined_rule,primary_mixed_benchmark.normalization.weights_trained,stage,stage4_attack_world_sha256,swap_diagnostics.random1.attempts,swap_diagnostics.random1.edges,swap_diagnostics.random1.successful_swaps,swap_diagnostics.random2.attempts,swap_diagnostics.random2.edges,swap_diagnostics.random2.successful_swaps,_source_member
0,0.74,1.0,0.9917946666666667,0.7453333333333333,0.5,0.5,1.0,8,6,1500,2000,8,6,3,1.0110882680057969,325,29671,3,1.0098290022889458,290,29708,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.6226666666666667,0.753463,0.8738855555555556,0.12042255555555559,0.5,0.15432214195798016,0.5409466496119205,9.066666666666666,14.982730799898336,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,e6c1e331e091a817f66b33f292874fcd8a769bc71e7390eb90d30b0bf6aee327,241666,12000,240000,241723,12000,240000,stage7/seed_000/summary.json
1,0.716,1.0,0.9666106666666666,0.7313333333333333,0.5,0.5,1.0,8,6,1500,2000,8,6,3,1.0095571409341768,283,29716,3,1.010339137170377,306,29693,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.6156666666666667,0.7453973888888888,0.8662592222222222,0.12086183333333334,0.5,0.14755453993349246,0.5548983974936251,9.041666666666666,14.99691959111011,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,d2a6af13ef9520fb43cb4748fb4123dcd5b503fb6643a89b4e3aeb95a816bc2c,241612,12000,240000,241673,12000,240000,stage7/seed_001/summary.json
2,0.688,1.0,0.9532826666666666,0.7153333333333334,0.5,0.5,1.0,8,6,1500,2000,8,6,3,1.0092514718250631,270,29725,2,1.0093533409595585,278,29722,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.6076666666666667,0.7503505,0.8577998888888889,0.10744938888888889,0.5,0.1263442741623309,0.5191060054562753,9.026,15.00505439288153,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,995a0e15147a97cf6b3e60c3fc7dcb1533e16598b92a731e212ffcc80050bafd,241671,12000,240000,241732,12000,240000,stage7/seed_002/summary.json
3,0.732,1.0,0.9797333333333333,0.74,0.5,0.5,1.0,8,6,1500,2000,8,6,2,1.0097610232245036,290,29710,3,1.0102030508132134,301,29697,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.62,0.7490565555555555,0.8695685555555556,0.12051200000000006,0.5,0.15016798409244006,0.5253906647001056,9.044333333333332,14.995133695821307,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,5f4fbb438e098d7766a856b00cd993ed76b8fe654b56bbd5fe62662277f6e3ed,241649,12000,240000,241660,12000,240000,stage7/seed_003/summary.json
4,0.724,1.0,0.963944,0.7166666666666667,0.5,0.5,1.0,8,6,1500,2000,8,6,3,1.010611419909045,314,29685,2,1.0094891984655765,282,29718,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.6083333333333333,0.7533825555555556,0.858727,0.10534444444444446,0.5,0.13093638019952272,0.5214821451540448,9.054,14.990010584830598,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,08dd949cbdb1c4e3b3d3266926dbe48f624fcc8a4354b44ecb035c37e4106d33,241723,12000,240000,241629,12000,240000,stage7/seed_004/summary.json
5,0.76,1.0,0.9706426666666667,0.7646666666666667,0.5,0.5,1.0,8,6,1500,2000,8,6,3,1.0109519797809603,321,29675,2,1.0101010101010102,300,29700,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.6323333333333333,0.7527153888888889,0.8816404444444444,0.12892505555555556,0.5,0.16710673160450254,0.554517258722602,9.066666666666666,14.982641808291204,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,23d700135575dfbd5c83cfde34a984fed7d849ea6140ccbc0d2c6bfe867de354,241733,12000,240000,241667,12000,240000,stage7/seed_005/summary.json
6,0.768,1.0,0.976,0.7553333333333333,0.5,0.5,1.0,8,6,1500,2000,8,6,3,1.0103051121438675,303,29694,3,1.0102710894089915,300,29695,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.6276666666666667,0.7498550555555555,0.8783483333333333,0.12849327777777775,0.5,0.15181222457426932,0.518381122334119,9.055666666666667,14.98885923685396,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,86f006f6dbdd0a64a22efa5ddc7f1cd635c52aa2096589a99f6d94e348be2512,241708,12000,240000,241672,12000,240000,stage7/seed_006/summary.json
7,0.764,1.0,0.9529866666666666,0.762,0.5,0.5,1.0,8,6,1500,2000,8,6,2,1.0096250925489667,286,29714,3,1.0103731644887513,306,29692,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.631,0.7471426111111111,0.8803588888888889,0.13321627777777778,0.5,0.15894693255974862,0.5333060051576264,9.043333333333333,14.995203307131993,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,b7b6848423d687d84a8d07817fe8b2e0daa74eec1616a79e9b05c2ef7184685b,241660,12000,240000,241647,12000,240000,stage7/seed_007/summary.json
8,0.78,1.0,0.984,0.78,0.5,0.5,1.0,8,6,1500,2000,8,6,3,1.0112245929821013,331,29667,3,1.0100670011110737,296,29701,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.64,0.7555766666666667,0.8907831111111111,0.1352064444444444,0.5,0.1852706179533838,0.5729744166771614,9.071666666666667,14.979804089358298,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,1645ad95fffcbaaf8f94ba227fd596b930056ef3ac236f5ed458f8eacf694b6b,241637,12000,240000,241647,12000,240000,stage7/seed_008/summary.json
9,0.776,1.0,0.9837386666666667,0.76,0.5,0.5,1.0,8,6,1500,2000,8,6,2,1.0101690349518486,302,29698,3,1.0102370689655173,300,29696,8,8.0,3750,3750,"The primary mixed benchmark is a complementarity stress test, not an isolation experiment. Half of positive mechanisms carry aggregate evidence without repeated-team structure; half carry repeated-team structure without rating intervention. The combined score is untrained.",True,True,True,True,True,True,0.63,0.750523,0.8794204444444444,0.1288974444444444,0.5,0.1660243966465803,0.551776537364412,9.052666666666667,14.990393353374316,z(aggregate)+z(coactivity),False,amazon_stage7_complementarity,8c91d53e1fa59d7c5c05b126d5f74527d0a264ab0e1f41d1d3ec529f16d64191,241674,12000,240000,241713,12000,240000,stage7/seed_009/summary.json
